y_true,y_pred
0.648472,0.57557034
0.513799,0.55632144
0.510183,0.5518054
0.482936,0.514566
0.530038,0.57684696
0.538702,0.6169185
0.591361,0.6393768
0.585875,0.61999524
0.574169,0.61049426
0.473476,0.4914299
0.5593,0.56762123
0.559952,0.59853935
0.527384,0.57287526
0.504818,0.54838884
0.485401,0.5047529
0.537199,0.49592888
0.532272,0.49465573
0.535988,0.53165275
0.564214,0.5742955
0.559873,0.57026327
0.509987,0.59455204
0.468912,0.49660468
0.424244,0.49762964
0.390573,0.45162147
0.42075,0.46000057
0.449418,0.49179763
0.484891,0.5120934
0.510072,0.57275355
0.51894,0.5367422
0.463342,0.46692023
0.483726,0.46521926
0.47026,0.49003333
0.499845,0.49579751
0.556971,0.57001734
0.635243,0.6294713
0.693633,0.6959702
0.696155,0.70261705
0.718073,0.6987995
0.674859,0.6548307
0.615688,0.6543706
0.631371,0.68247974
0.547201,0.66235614
0.663779,0.6367291
0.623627,0.6137075
0.589563,0.5693755
0.562724,0.54105633
0.501144,0.582258
0.487776,0.5158421
0.500611,0.61179364
0.537919,0.63352257
0.505395,0.6163977
0.474909,0.5295917
0.494422,0.54726255
0.559726,0.5949245
0.599057,0.63505775
0.618352,0.68507195
0.61782,0.68252414
0.606125,0.6695024
0.614007,0.6550061
0.61659,0.6570492
0.620742,0.6480851
0.628025,0.6666156
0.64534,0.6822559
0.657776,0.67590344
0.615714,0.65475243
0.658592,0.6714057
0.614344,0.6583692
0.570605,0.5722588
0.521966,0.5260662
0.526143,0.55284125
0.487121,0.52005625
0.508638,0.61911845
0.488955,0.62318397
0.46215,0.6299328
0.424606,0.4694542
0.441311,0.4682361
0.432119,0.52004194
0.478925,0.58784026
0.555636,0.62897086
0.605165,0.6474613
0.637283,0.67191136
0.636382,0.69639635
0.643849,0.663161
0.602265,0.6098108
0.622582,0.6205355
0.644416,0.6418195
0.635957,0.6381285
0.597752,0.57655644
0.549977,0.5637963
0.511271,0.58737534
0.52459,0.6040164
0.551348,0.6122936
0.560115,0.621914
0.556023,0.6300593
0.576881,0.5883342
0.574449,0.5797105
0.550527,0.56888026
0.545006,0.53672945
0.523301,0.5565301
0.524432,0.53400517
0.525631,0.55828756
0.524241,0.560882
0.507683,0.5654113
0.47598,0.54427624
0.492612,0.43551812
0.467717,0.43738395
0.440204,0.47187006
0.479417,0.46234772
0.511779,0.4608671
0.529283,0.5197859
0.490371,0.4869334
0.465375,0.47365564
0.518444,0.49226612
0.519919,0.5279125
0.522007,0.5605762
0.584613,0.60208094
0.576692,0.60674727
0.580108,0.6069702
0.565005,0.611346
0.59486,0.6222181
0.577066,0.63473976
0.572698,0.64265937
0.624847,0.6695905
0.595485,0.6524125
0.61866,0.6402321
0.58391,0.608914
0.557188,0.64546627
0.56594,0.63436943
0.560683,0.638113
0.558263,0.6749524
0.548077,0.7051208
0.530603,0.71937585
0.540075,0.70958436
0.517741,0.5871456
0.511615,0.590633
0.545938,0.5347066
0.553811,0.54591894
0.568129,0.5935695
0.606244,0.6598674
0.61152,0.6845976
0.649121,0.69517326
0.610677,0.71311927
0.640415,0.70443475
0.642062,0.69179344
0.634044,0.6922983
0.634369,0.63725835
0.590168,0.6004528
0.561949,0.49346334
0.494432,0.46023095
0.473218,0.5182104
0.52435,0.54381955
0.557862,0.58709204
0.503816,0.5466266
0.437565,0.46672595
0.502113,0.7164751
0.562277,0.61245674
0.41083,0.5551121
0.554114,0.5533769
0.579793,0.5929513
0.624664,0.6785401
0.653433,0.6618499
0.689983,0.6815467
0.664697,0.6510124
0.648151,0.6334433
0.644365,0.61604863
0.614489,0.54026926
0.546761,0.45403278
0.498479,0.45918846
0.470959,0.46232045
0.446521,0.48274118
0.453623,0.52674496
0.483894,0.55744904
0.508695,0.5602592
0.465281,0.505131
0.521824,0.56116796
0.55316,0.49876487
0.537638,0.51236737
0.534078,0.48857078
0.566427,0.5275705
0.577363,0.5745543
0.580928,0.5845337
0.629379,0.60152024
0.632377,0.58811027
0.604262,0.6149298
0.630352,0.62988365
0.646656,0.6480007
0.692451,0.66487026
0.652211,0.70688874
0.620854,0.6797411
0.610251,0.6544924
0.619429,0.59679294
0.553859,0.531633
0.502611,0.51267385
0.529765,0.5849696
0.546657,0.5229231
