y_true,y_pred
0.648472,0.56135696
0.513799,0.54946446
0.510183,0.54926246
0.482936,0.5190817
0.530038,0.5749117
0.538702,0.6038451
0.591361,0.6210777
0.585875,0.6082092
0.574169,0.6114794
0.473476,0.50113124
0.5593,0.5761939
0.559952,0.60071427
0.527384,0.5639819
0.504818,0.53887963
0.485401,0.50526845
0.537199,0.4991112
0.532272,0.503497
0.535988,0.5484103
0.564214,0.58369875
0.559873,0.564239
0.509987,0.6010927
0.468912,0.49057323
0.424244,0.47540325
0.390573,0.4493173
0.42075,0.46907884
0.449418,0.46912962
0.484891,0.5121971
0.510072,0.576025
0.51894,0.5336099
0.463342,0.49647778
0.483726,0.49722567
0.47026,0.50466186
0.499845,0.5170113
0.556971,0.576631
0.635243,0.63208354
0.693633,0.6665626
0.696155,0.6669841
0.718073,0.6624663
0.674859,0.62800354
0.615688,0.62689924
0.631371,0.6398107
0.547201,0.63007116
0.663779,0.6039961
0.623627,0.5824982
0.589563,0.5500642
0.562724,0.5357281
0.501144,0.57098895
0.487776,0.55278975
0.500611,0.62632525
0.537919,0.6311705
0.505395,0.6162475
0.474909,0.55092645
0.494422,0.56698513
0.559726,0.587858
0.599057,0.64385456
0.618352,0.66513383
0.61782,0.6663052
0.606125,0.6662059
0.614007,0.64801115
0.61659,0.64981246
0.620742,0.6380687
0.628025,0.6477612
0.64534,0.66416675
0.657776,0.6535814
0.615714,0.63666046
0.658592,0.65743077
0.614344,0.6468828
0.570605,0.5813576
0.521966,0.53650695
0.526143,0.5603441
0.487121,0.51635826
0.508638,0.56495756
0.488955,0.5570057
0.46215,0.55348444
0.424606,0.4967788
0.441311,0.49067768
0.432119,0.5128223
0.478925,0.58007497
0.555636,0.62263596
0.605165,0.6353021
0.637283,0.65258455
0.636382,0.65044665
0.643849,0.6520074
0.602265,0.60819745
0.622582,0.6041106
0.644416,0.64033324
0.635957,0.62890005
0.597752,0.5713522
0.549977,0.57657397
0.511271,0.5774447
0.52459,0.5884665
0.551348,0.58864844
0.560115,0.61266756
0.556023,0.60318923
0.576881,0.60202515
0.574449,0.5967516
0.550527,0.60792005
0.545006,0.5863918
0.523301,0.589418
0.524432,0.56906086
0.525631,0.5774307
0.524241,0.57553136
0.507683,0.57265115
0.47598,0.55581015
0.492612,0.5053181
0.467717,0.4798795
0.440204,0.49076658
0.479417,0.4747364
0.511779,0.49375457
0.529283,0.5194782
0.490371,0.5203078
0.465375,0.49960178
0.518444,0.504704
0.519919,0.54139256
0.522007,0.5741493
0.584613,0.61649853
0.576692,0.62436366
0.580108,0.61667573
0.565005,0.6194664
0.59486,0.625495
0.577066,0.6289352
0.572698,0.6408403
0.624847,0.6678318
0.595485,0.6504226
0.61866,0.6314268
0.58391,0.6049781
0.557188,0.6224238
0.56594,0.6169223
0.560683,0.63140404
0.558263,0.676424
0.548077,0.7038064
0.530603,0.7054426
0.540075,0.66975355
0.517741,0.5681348
0.511615,0.57803524
0.545938,0.5734095
0.553811,0.57957274
0.568129,0.61827207
0.606244,0.65093327
0.61152,0.6611537
0.649121,0.64983547
0.610677,0.6724808
0.640415,0.6701655
0.642062,0.66889334
0.634044,0.66709715
0.634369,0.6424184
0.590168,0.60140115
0.561949,0.53055745
0.494432,0.49400452
0.473218,0.53552276
0.52435,0.53418034
0.557862,0.5631581
0.503816,0.5421674
0.437565,0.4911338
0.502113,0.6414987
0.562277,0.5682527
0.41083,0.51467526
0.554114,0.58777225
0.579793,0.59807825
0.624664,0.63585305
0.653433,0.63792807
0.689983,0.6805705
0.664697,0.6583737
0.648151,0.6409906
0.644365,0.62632823
0.614489,0.5593916
0.546761,0.4542816
0.498479,0.48464343
0.470959,0.4800173
0.446521,0.5098363
0.453623,0.5474402
0.483894,0.5591148
0.508695,0.5461182
0.465281,0.53819865
0.521824,0.5959505
0.55316,0.541927
0.537638,0.5089444
0.534078,0.51070225
0.566427,0.5518214
0.577363,0.59903705
0.580928,0.5994039
0.629379,0.62440133
0.632377,0.6057167
0.604262,0.60973275
0.630352,0.63079333
0.646656,0.651783
0.692451,0.65485007
0.652211,0.6484069
0.620854,0.64444304
0.610251,0.6357364
0.619429,0.58923554
0.553859,0.53186786
0.502611,0.5186463
0.529765,0.58441496
0.546657,0.49491206
