Time,DayOfYear,Hour,O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
2010-01-16 09:00:00,16,9,15.644000000000002,252.94,2.16,18.96,3.3009146875655544,3.409727405876326,1.2611292565545662,1.325737301827163,0.6531491721760795,1.818215586769953,2.1539105028507235,22.553216697768157,0.1749582421508641,277.04999999999995,0.86,0.951644,3.66655,1.3982,4.38481,0.479251,0.6563500000000001
2010-01-16 10:00:00,16,10,12.783,301.96,3.02,22.37,3.6136389446049137,3.794944472554194,2.093663494652231,1.2526487236116872,0.7178181214983725,1.993730965889441,1.9524919734122264,23.510458169969866,0.3335487472645259,277.04999999999995,0.87,1.68295,4.92592,1.55878,4.8253,0.50897,0.620016
2010-01-16 11:00:00,16,11,9.336000000000002,352.7,6.46,30.69,3.823093685596026,3.747496828352906,2.084217056069663,1.5351902361922467,0.9228833637094996,2.107769819782062,2.4917891165645356,21.206237894761365,0.2804059666830423,276.95,0.9,1.67219,5.79465,1.44663,4.52318,0.479108,0.618443
2010-01-16 12:00:00,16,12,9.043,362.48,6.74,30.7,3.935192962775474,3.9441757433517486,2.609474688198504,1.5754379709552988,0.8872993984442034,2.238122695158529,2.508882690144953,24.46445434925937,0.5252637220311733,277.15,0.91,1.88399,7.3602,1.56544,4.85601,0.523904,0.616787
2010-01-16 13:00:00,16,13,6.806,421.88,11.01,37.9,4.081081934732072,3.865224790208692,2.553508995464043,1.5817129912913002,0.8444802257102249,2.2935512339807533,2.0023265461136246,26.188269925116067,0.546568710642669,277.45,0.92,2.17685,9.13961,1.55256,4.88788,0.600045,0.639846
2010-01-16 14:00:00,16,14,9.084,400.16,7.71,33.3,3.9012560062467982,4.409981549876069,2.602167065898782,2.060643330657663,0.7564417135907326,2.1347057689081934,1.9359517374570308,19.15235676829761,0.4989915591085705,277.54999999999995,0.93,1.88958,9.14603,1.22461,3.7782,0.527864,0.672509
2010-01-16 15:00:00,16,15,10.928,378.12,6.24,29.8,4.007543501079686,4.107520881916793,2.6270010994051565,1.9333070822477103,0.8119731082333379,2.2330767020125903,2.0347743126057023,22.06825290679327,0.3932146844714394,277.84999999999997,0.95,1.72676,6.04784,0.973412,2.92411,0.466222,0.631107
2010-01-16 16:00:00,16,16,5.654,429.26,8.49,38.09,4.075292443611449,4.165276948310035,2.8278121837389967,1.4953299481058264,0.972974099332462,2.4982157262656006,2.1829229735394255,21.306283288182193,0.5730204099861553,278.25,0.96,2.20545,6.05834,0.939785,2.79282,0.477799,0.619799
2010-01-16 17:00:00,16,17,6.28,390.04,9.47,38.4,4.143134698658891,3.944657445323336,2.870766744086146,1.417288021639573,0.8742335273460575,2.371603025359731,2.2215212557880424,20.61866876181747,0.6121892724755481,279.15,0.96,2.18695,6.10274,0.765951,2.16912,0.41466,0.636609
2010-01-16 18:00:00,16,18,5.409,361.34,9.56,41.11,4.122555244300156,4.777182962816598,2.7805799908261553,1.310239295726356,0.806128241699111,2.4422240552160868,1.918117319388763,18.624243970694664,0.5200571658255548,279.65,0.96,2.162,5.07849,0.442398,1.23502,0.211837,0.6236269999999999
2010-01-16 19:00:00,16,19,8.321,345.5,8.3,37.3,4.238585287728479,3.5195072852009313,2.734298382927913,1.2863747982239162,0.7594344268904067,2.1852519659108895,1.8763072047307487,16.053930482646347,0.516526282881515,280.25,0.96,3.04583,5.36799,0.78779,0.965292,0.189107,0.592102
2010-01-16 20:00:00,16,20,7.587000000000001,373.84,7.32,35.76,4.520969798446947,3.5518776576915556,1.9559474906623369,1.2387274164440922,0.7501532925501998,2.2074136469940657,1.8093868699793567,18.989179879160627,0.410420258139431,281.15,0.96,2.10068,6.61673,0.708772,1.73111,0.358611,0.630733
2010-01-16 21:00:00,16,21,10.147,317.2,5.68,30.79,4.172948803765866,3.452069009178795,1.777059273227664,0.938438369214338,0.587560950997451,2.05201045515348,1.6752881708451182,13.907810927958751,0.3676307444955562,281.34999999999997,0.95,1.46986,5.97064,0.662618,1.71235,0.394307,0.641949
2010-01-16 22:00:00,16,22,15.401,290.8,2.93,20.3,3.87744110838966,3.5012507804777946,1.5113113500840936,0.8454753619600319,0.5263088689226803,1.9850179588550112,1.693594357002282,12.503131241127535,0.3927957661560448,281.84999999999997,0.96,1.20608,5.70995,0.472334,1.18943,0.302415,0.64646
2010-01-17 00:00:00,17,0,19.686,264.06,1.58,17.88,3.3898894611481794,2.825278403750205,1.26421865785201,0.6909576906219113,0.4556071362938101,1.8486170757554232,1.519274428026779,10.082372844516584,0.1752574695190032,282.25,0.85,0.729862,2.1732,0.266254,0.569404,0.223632,0.550509
2010-01-17 01:00:00,17,1,26.603,242.96,1.67,13.28,3.027838950382381,2.339241114419243,0.3325265204190845,0.5091845296705177,0.3457220079079215,1.7196554414495857,1.3229739716674442,7.637013567596234,0.1279496226162297,282.15,0.83,0.413727,1.03365,0.147314,0.190056,0.210786,0.480753
2010-01-17 02:00:00,17,2,33.44,231.42,0.8,8.8,2.8190539532060255,2.0504126122558692,0.2786402324040569,0.4260154427671326,0.298467379830707,1.567672366644837,1.226783783061696,7.637015003037093,0.1523665758563708,282.04999999999995,0.77,0.334397,0.572333,0.122201,0.123934,0.22012,0.372953
